,SEXVAR,EXERANY2,MARIJAN1,RSNMRJN2,sex,exercised,marijuana_use
182127,2.0,1.0,88.0,,female,yes,
182138,1.0,1.0,88.0,,male,yes,
182272,1.0,1.0,88.0,,male,yes,
182339,1.0,1.0,,,male,yes,
182458,1.0,1.0,1.0,3.0,male,yes,both
182527,2.0,2.0,88.0,,female,no,
182581,2.0,1.0,88.0,,female,yes,
182916,2.0,2.0,88.0,,female,no,
183369,2.0,2.0,,,female,no,
184398,1.0,1.0,3.0,3.0,male,yes,both
184726,2.0,1.0,88.0,,female,yes,
184759,2.0,1.0,88.0,,female,yes,
185541,1.0,1.0,88.0,,male,yes,
187116,1.0,2.0,,,male,no,
187880,1.0,1.0,88.0,,male,yes,
188368,2.0,1.0,88.0,,female,yes,
188406,1.0,1.0,,,male,yes,
188414,1.0,1.0,88.0,,male,yes,
188699,2.0,1.0,88.0,,female,yes,
188844,2.0,1.0,88.0,,female,yes,
189007,2.0,1.0,30.0,3.0,female,yes,both
189315,2.0,1.0,77.0,,female,yes,
189778,1.0,1.0,2.0,3.0,male,yes,both
189822,2.0,2.0,88.0,,female,no,
190617,1.0,1.0,88.0,,male,yes,
190794,2.0,1.0,88.0,,female,yes,
190800,1.0,1.0,,,male,yes,
191998,2.0,1.0,88.0,,female,yes,
192340,1.0,1.0,,,male,yes,
192422,2.0,1.0,,,female,yes,
192442,1.0,1.0,,,male,yes,
193842,1.0,1.0,,,male,yes,
193844,1.0,1.0,,,male,yes,
193846,2.0,1.0,,,female,yes,
193947,1.0,1.0,,,male,yes,
193954,1.0,2.0,,,male,no,
194736,1.0,1.0,,,male,yes,
195189,1.0,1.0,,,male,yes,
195214,1.0,1.0,,,male,yes,
195516,2.0,1.0,,,female,yes,
195525,1.0,1.0,,,male,yes,
195644,2.0,1.0,,,female,yes,
196059,2.0,2.0,,,female,no,
196072,2.0,1.0,,,female,yes,
196084,2.0,1.0,,,female,yes,
196100,1.0,1.0,,,male,yes,
196943,2.0,1.0,,,female,yes,
197006,1.0,1.0,,,male,yes,
197012,1.0,1.0,,,male,yes,
200435,2.0,1.0,,,female,yes,
200463,2.0,1.0,,,female,yes,
200464,1.0,1.0,,,male,yes,
200466,2.0,1.0,,,female,yes,
200670,1.0,1.0,,,male,yes,
200688,1.0,1.0,,,male,yes,
201136,2.0,2.0,,,female,no,
201150,1.0,1.0,,,male,yes,
201166,1.0,1.0,,,male,yes,
201281,1.0,1.0,,,male,yes,
201492,2.0,1.0,,,female,yes,
201748,2.0,2.0,,,female,no,
201755,1.0,1.0,,,male,yes,
201778,1.0,1.0,,,male,yes,
202183,1.0,1.0,,,male,yes,
202839,2.0,1.0,,,female,yes,
202896,2.0,1.0,,,female,yes,
202969,1.0,1.0,,,male,yes,
203017,2.0,1.0,,,female,yes,
203103,2.0,1.0,,,female,yes,
203221,1.0,1.0,,,male,yes,
203313,1.0,1.0,,,male,yes,
204456,1.0,1.0,,,male,yes,
205166,1.0,1.0,,,male,yes,
205784,1.0,1.0,,,male,yes,
206117,1.0,1.0,,,male,yes,
206498,2.0,1.0,,,female,yes,
206895,1.0,1.0,,,male,yes,
206921,1.0,2.0,,,male,no,
207285,1.0,2.0,,,male,no,
207383,1.0,2.0,,,male,no,
207505,2.0,2.0,,,female,no,
207602,2.0,1.0,,,female,yes,
208697,1.0,1.0,,,male,yes,
209165,2.0,1.0,,,female,yes,
209173,2.0,1.0,,,female,yes,
209252,2.0,1.0,,,female,yes,
209275,1.0,1.0,,,male,yes,
211235,1.0,1.0,,,male,yes,
211294,1.0,1.0,88.0,,male,yes,
211320,1.0,1.0,88.0,,male,yes,
211473,1.0,1.0,,,male,yes,
211920,2.0,1.0,25.0,1.0,female,yes,medical
211951,1.0,1.0,2.0,2.0,male,yes,nonmedical
212131,2.0,1.0,88.0,,female,yes,
212252,2.0,1.0,88.0,,female,yes,
212258,2.0,1.0,2.0,2.0,female,yes,nonmedical
212328,2.0,1.0,88.0,,female,yes,
212462,1.0,1.0,88.0,,male,yes,
213503,2.0,1.0,88.0,,female,yes,
213857,1.0,1.0,88.0,,male,yes,
214076,2.0,1.0,,,female,yes,
214084,2.0,1.0,88.0,,female,yes,
214094,1.0,1.0,88.0,,male,yes,
214254,2.0,1.0,88.0,,female,yes,
215029,2.0,2.0,88.0,,female,no,
215430,1.0,1.0,,,male,yes,
215476,1.0,1.0,,,male,yes,
215513,1.0,1.0,,,male,yes,
215523,2.0,1.0,,,female,yes,
215524,1.0,1.0,,,male,yes,
215532,1.0,1.0,,,male,yes,
219600,2.0,1.0,,,female,yes,
219619,2.0,2.0,,,female,no,
219620,2.0,1.0,,,female,yes,
219729,2.0,1.0,,,female,yes,
219730,2.0,1.0,,,female,yes,
219733,2.0,2.0,,,female,no,
219766,1.0,1.0,,,male,yes,
219804,1.0,1.0,,,male,yes,
219811,1.0,1.0,,,male,yes,
219816,2.0,1.0,,,female,yes,
220017,2.0,2.0,,,female,no,
220319,1.0,1.0,,,male,yes,
220379,1.0,1.0,,,male,yes,
220497,1.0,1.0,,,male,yes,
220526,2.0,1.0,,,female,yes,
220663,2.0,1.0,,,female,yes,
220936,2.0,1.0,,,female,yes,
