year,month,dow,sex,count
1995,Sep,Fri,F,30860
1995,Sep,Fri,M,32723
1995,Sep,Sat,F,22690
1995,Sep,Sat,M,24012
1995,Oct,Sun,F,19681
1995,Oct,Sun,M,20596
1995,Oct,Mon,F,26773
1995,Oct,Mon,M,27905
1995,Oct,Tue,F,29119
1995,Oct,Tue,M,30224
1995,Oct,Wed,F,23102
1995,Oct,Wed,M,24058
1995,Oct,Thu,F,23075
1995,Oct,Thu,M,24210
1995,Oct,Fri,F,22705
1995,Oct,Fri,M,23559
1995,Oct,Sat,F,17553
1995,Oct,Sat,M,17751
1995,Nov,Sun,F,15157
1995,Nov,Sun,M,15903
1995,Nov,Mon,F,21398
1995,Nov,Mon,M,22444
1995,Nov,Tue,F,23403
1995,Nov,Tue,M,24638
1995,Nov,Wed,F,28201
1995,Nov,Wed,M,29551
1995,Nov,Thu,F,26220
1995,Nov,Thu,M,27430
1995,Nov,Fri,F,21139
1995,Nov,Fri,M,22047
1995,Nov,Sat,F,16431
1995,Nov,Sat,M,17168
1995,Dec,Sun,F,18403
1995,Dec,Sun,M,19282
1995,Dec,Mon,F,19124
1995,Dec,Mon,M,19855
1995,Dec,Tue,F,22318
1995,Dec,Tue,M,23142
1995,Dec,Wed,F,22646
1995,Dec,Wed,M,23712
1995,Dec,Thu,F,23003
1995,Dec,Thu,M,24148
1995,Dec,Fri,F,28017
1995,Dec,Fri,M,29274
1995,Dec,Sat,F,20609
1995,Dec,Sat,M,21723
1996,Jan,Sun,F,15037
1996,Jan,Sun,M,15644
1996,Jan,Mon,F,23752
1996,Jan,Mon,M,24899
1996,Jan,Tue,F,26480
1996,Jan,Tue,M,27995
1996,Jan,Wed,F,27029
1996,Jan,Wed,M,28486
1996,Jan,Thu,F,22358
1996,Jan,Thu,M,23272
1996,Jan,Fri,F,22193
1996,Jan,Fri,M,23237
1996,Jan,Sat,F,16715
1996,Jan,Sat,M,17474
1996,Feb,Sun,F,15121
1996,Feb,Sun,M,15830
1996,Feb,Mon,F,20403
1996,Feb,Mon,M,21272
1996,Feb,Tue,F,22561
1996,Feb,Tue,M,23513
1996,Feb,Wed,F,22706
1996,Feb,Wed,M,23610
1996,Feb,Thu,F,27563
1996,Feb,Thu,M,29250
1996,Feb,Fri,F,22423
1996,Feb,Fri,M,23615
1996,Feb,Sat,F,16559
1996,Feb,Sat,M,17593
1996,Mar,Sun,F,19234
1996,Mar,Sun,M,20154
1996,Mar,Mon,F,20904
1996,Mar,Mon,M,21866
1996,Mar,Tue,F,22729
1996,Mar,Tue,M,23941
1996,Mar,Wed,F,22393
1996,Mar,Wed,M,23525
1996,Mar,Thu,F,22830
1996,Mar,Thu,M,23611
1996,Mar,Fri,F,28405
1996,Mar,Fri,M,29947
1996,Mar,Sat,F,21041
1996,Mar,Sat,M,22267
1996,Apr,Sun,F,14772
1996,Apr,Sun,M,15680
1996,Apr,Mon,F,25728
1996,Apr,Mon,M,26986
1996,Apr,Tue,F,28773
1996,Apr,Tue,M,30089
1996,Apr,Wed,F,22585
1996,Apr,Wed,M,23398
1996,Apr,Thu,F,22380
1996,Apr,Thu,M,23642
1996,Apr,Fri,F,21928
1996,Apr,Fri,M,23071
1996,Apr,Sat,F,16458
1996,Apr,Sat,M,17390
1996,May,Sun,F,15297
1996,May,Sun,M,15962
1996,May,Mon,F,19521
1996,May,Mon,M,20501
1996,May,Tue,F,22864
1996,May,Tue,M,23605
1996,May,Wed,F,28279
1996,May,Wed,M,30045
1996,May,Thu,F,28341
1996,May,Thu,M,29630
1996,May,Fri,F,28047
1996,May,Fri,M,29541
1996,May,Sat,F,16634
1996,May,Sat,M,17736
1996,Jun,Sun,F,19588
1996,Jun,Sun,M,20823
1996,Jun,Mon,F,21506
1996,Jun,Mon,M,22440
1996,Jun,Tue,F,23377
1996,Jun,Tue,M,24675
1996,Jun,Wed,F,23102
1996,Jun,Wed,M,24269
1996,Jun,Thu,F,23298
1996,Jun,Thu,M,24111
1996,Jun,Fri,F,23032
1996,Jun,Fri,M,24213
1996,Jun,Sat,F,21599
1996,Jun,Sat,M,22736
1996,Jul,Sun,F,16219
1996,Jul,Sun,M,17000
1996,Jul,Mon,F,27718
1996,Jul,Mon,M,29312
1996,Jul,Tue,F,31186
1996,Jul,Tue,M,32534
1996,Jul,Wed,F,30066
1996,Jul,Wed,M,31907
1996,Jul,Thu,F,22616
1996,Jul,Thu,M,23592
1996,Jul,Fri,F,22869
1996,Jul,Fri,M,24103
1996,Jul,Sat,F,17749
1996,Jul,Sat,M,18595
1996,Aug,Sun,F,16151
1996,Aug,Sun,M,17035
1996,Aug,Mon,F,22262
1996,Aug,Mon,M,23146
1996,Aug,Tue,F,24331
1996,Aug,Tue,M,25461
1996,Aug,Wed,F,24040
1996,Aug,Wed,M,25257
1996,Aug,Thu,F,30016
1996,Aug,Thu,M,31553
1996,Aug,Fri,F,30090
1996,Aug,Fri,M,31329
1996,Aug,Sat,F,22347
1996,Aug,Sat,M,23612
1996,Sep,Sun,F,20966
1996,Sep,Sun,M,21329
1996,Sep,Mon,F,26898
1996,Sep,Mon,M,28236
1996,Sep,Tue,F,24415
1996,Sep,Tue,M,25770
1996,Sep,Wed,F,24929
1996,Sep,Wed,M,25896
1996,Sep,Thu,F,24736
1996,Sep,Thu,M,25665
1996,Sep,Fri,F,24653
1996,Sep,Fri,M,25542
1996,Sep,Sat,F,18741
1996,Sep,Sat,M,18861
1996,Oct,Sun,F,15616
1996,Oct,Sun,M,16199
1996,Oct,Mon,F,21350
1996,Oct,Mon,M,22288
1996,Oct,Tue,F,30265
1996,Oct,Tue,M,31127
1996,Oct,Wed,F,29262
1996,Oct,Wed,M,30713
1996,Oct,Thu,F,28278
1996,Oct,Thu,M,29795
1996,Oct,Fri,F,23056
